,bt,km,transmission,ownerNo,oem,modelYear,Insurance Validity,Fuel Type,RTO,Features,Mileage,Engine,Max Power,Torque,Seats,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
1636,3,20000,0,1,9,2022,2,3,29,9,14.82,1498,108.49,144.0,5.0,8,4,4,0,4323.0,1809.0,1650.0,2585.0,8,1,0,0,1,5,1
1637,0,47000,0,1,18,2019,0,3,25,9,19.56,1197,81.8,113.0,5.0,4,4,4,0,3995.0,1745.0,1510.0,2520.0,5,1,0,1,0,5,1
1638,0,60333,1,2,11,2014,0,3,25,9,23.95,998,67.05,90.0,5.0,10,3,4,0,3545.0,1515.0,1475.0,2360.0,5,3,0,1,1,5,1
1639,0,81058,1,1,7,2014,0,1,25,9,24.0,1186,73.97,190.24,5.0,8,3,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,1
1641,0,32797,1,2,7,2016,0,3,25,9,18.9,1197,82.0,114.0,5.0,7,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,1
1642,0,69731,1,1,7,2016,0,3,25,9,18.9,1197,82.0,114.0,5.0,11,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,1
1644,0,110267,1,2,13,2016,0,3,25,9,19.49,1198,67.04,104.0,5.0,1,3,4,0,3801.0,1665.0,1530.0,2450.0,5,3,0,1,1,5,1
1645,3,31767,1,1,10,2018,2,3,25,9,18.15,1198,82.0,115.0,6.0,7,3,4,0,3675.0,1715.0,1655.0,2385.0,5,3,0,1,1,5,1
1646,3,45677,1,2,6,2018,0,3,25,9,17.5,1199,88.7,110.0,5.0,8,4,4,0,3999.0,1734.0,1601.0,2555.0,5,1,0,1,1,5,1
1647,0,66656,1,1,11,2017,0,3,25,9,25.24,998,65.71,89.0,5.0,11,3,4,0,3695.0,1655.0,1555.0,2435.0,5,1,0,1,1,5,1
1648,4,27000,1,1,6,2019,0,1,25,9,24.7,1498,98.63,200.0,5.0,4,4,4,1,3995.0,1695.0,1501.0,2470.0,5,1,0,1,1,4,1
1649,0,37004,1,1,15,2021,0,3,25,9,21.74,999,67.0,91.0,5.0,10,3,4,0,3731.0,1579.0,1474.0,2422.0,5,1,0,1,1,5,1
1650,0,85274,1,2,7,2011,0,3,25,8,20.36,1197,78.9,111.7,5.0,11,4,4,0,3585.0,1595.0,1550.0,2380.0,5,3,0,1,1,4,1
1657,4,60000,1,2,7,2015,2,3,29,9,17.1,1591,121.3,154.9,5.0,8,4,4,0,4370.0,1700.0,1475.0,2570.0,5,3,0,0,1,4,1
1662,0,65607,1,1,7,2018,3,3,25,9,20.3,1086,68.0,99.0,5.0,11,4,3,0,3610.0,1645.0,1560.0,2400.0,5,3,0,1,1,5,1
1664,0,74777,1,1,7,2016,0,3,25,9,18.6,1197,81.83,114.7,5.0,8,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
1665,4,102392,1,2,18,2012,0,3,25,0,17.6,1496,88.73,132.0,5.0,11,4,4,0,3995.0,1695.0,1505.0,2425.0,5,3,0,1,1,4,1
1667,4,62373,1,1,11,2014,2,3,25,9,22.41,1197,88.5,113.0,5.0,11,4,4,0,3995.0,1735.0,1515.0,2450.0,5,1,0,1,1,4,1
1668,4,80000,1,1,17,2015,2,1,25,8,22.95,1248,74.0,190.0,5.0,8,4,4,1,3995.0,1706.0,1570.0,2470.0,5,3,0,1,1,4,1
1669,0,25219,0,2,11,2018,0,3,25,9,26.0,998,65.71,89.0,5.0,11,3,4,0,3695.0,1655.0,1555.0,2435.0,5,1,0,1,1,5,1
1670,0,64409,1,3,11,2014,2,1,25,9,25.2,1248,74.0,190.0,5.0,11,4,4,1,3840.0,1735.0,1530.0,2450.0,5,3,0,1,1,5,1
1674,3,48574,1,1,7,2019,0,1,25,9,23.7,1396,88.76,220.0,5.0,1,4,4,0,3995.0,1770.0,1605.0,2500.0,6,3,0,1,0,5,1
1677,0,75498,1,1,11,2013,0,3,25,9,18.9,998,67.1,90.0,5.0,12,3,4,0,3595.0,1495.0,1700.0,2400.0,5,3,0,1,1,4,1
1679,0,46613,1,1,11,2015,0,3,25,9,20.51,998,67.04,90.0,5.0,1,3,4,0,3599.0,1495.0,1700.0,2400.0,5,3,0,1,1,5,1
1680,3,30000,1,1,6,2017,2,3,29,9,17.5,1199,88.7,110.0,5.0,10,4,4,0,3999.0,1734.0,1601.0,2555.0,5,1,0,1,1,5,1
1681,4,18722,1,1,6,2015,0,3,25,9,18.0,1198,86.7,109.0,5.0,0,4,4,0,3990.0,1680.0,1505.0,2405.0,5,3,0,1,1,4,1
1684,0,20875,1,1,11,2021,2,3,25,8,25.24,998,65.71,89.0,5.0,1,3,4,0,3695.0,1655.0,1555.0,2435.0,5,1,0,1,1,5,1
1685,0,46436,1,2,15,2018,2,3,25,9,25.17,799,53.3,72.0,5.0,0,3,4,0,3679.0,1579.0,1478.0,2422.0,5,3,0,1,1,5,1
1687,3,12814,1,1,7,2021,2,3,25,9,17.52,1197,81.86,113.76,5.0,5,4,4,0,3995.0,1770.0,1605.0,2500.0,5,1,0,1,0,5,1
1689,0,45851,1,1,7,2011,0,3,25,8,20.36,1197,78.9,111.7,5.0,11,4,4,0,3585.0,1595.0,1550.0,2380.0,5,3,0,1,1,4,1
1690,3,36349,1,1,7,2021,0,3,25,9,18.0,998,118.35,171.6,5.0,1,3,4,1,3995.0,1770.0,1605.0,2500.0,6,1,0,1,0,5,1
1691,0,35000,0,1,19,2018,0,3,25,9,17.21,1197,103.5,175.0,5.0,4,4,4,1,3971.0,1682.0,1469.0,2469.0,7,3,0,1,1,5,1
1694,0,48163,1,2,11,2016,0,3,25,9,20.51,998,67.04,90.0,5.0,4,3,4,0,3599.0,1495.0,1700.0,2400.0,5,3,0,1,1,5,1
1695,4,40000,1,3,11,2013,2,3,25,9,19.1,1197,85.8,114.0,5.0,8,4,4,0,3995.0,1695.0,1555.0,2430.0,5,3,0,1,1,4,1
1697,0,20000,1,1,19,2020,2,3,25,9,17.74,999,75.1,95.0,5.0,4,3,4,0,3971.0,1682.0,1469.0,2469.0,5,1,0,1,1,5,1
1699,0,112711,1,1,7,2013,0,3,25,9,20.36,1197,78.9,111.8,5.0,10,4,4,0,3585.0,1595.0,1550.0,2380.0,5,3,0,1,1,4,1
1701,0,65895,0,2,11,2016,0,3,25,8,26.68,998,65.71,89.0,5.0,10,3,4,0,3695.0,1655.0,1555.0,2435.0,5,1,0,1,1,5,1
1702,3,15625,0,1,10,2022,0,3,25,9,17.0,1197,108.6,200.0,5.0,12,3,4,1,3995.0,1821.0,1627.0,2600.0,6,3,0,0,1,5,1
1703,0,107595,1,1,11,2015,2,1,25,9,25.2,1248,74.0,190.0,5.0,4,4,4,1,3840.0,1735.0,1530.0,2450.0,5,3,0,1,1,5,1
1704,0,23838,1,1,11,2017,0,3,25,9,20.89,1197,81.8,113.0,5.0,10,4,4,0,3700.0,1690.0,1595.0,2435.0,5,1,0,1,1,5,1
1705,0,28975,1,1,11,2015,2,3,25,9,24.39,998,65.71,89.0,5.0,10,3,4,0,3530.0,1490.0,1520.0,2380.0,5,3,0,1,1,5,1
1706,3,30742,1,1,6,2018,2,3,25,9,17.5,1199,88.7,110.0,5.0,10,4,4,0,3999.0,1734.0,1601.0,2555.0,5,1,0,1,1,5,1
1707,0,10363,1,1,11,2022,0,3,25,9,21.7,998,65.71,89.0,5.0,11,3,4,0,3565.0,1520.0,1567.0,2380.0,5,3,0,1,1,5,1
1710,3,60929,1,2,7,2018,2,3,25,9,15.8,1591,121.3,151.0,5.0,11,4,4,0,4270.0,1780.0,1665.0,2590.0,6,3,0,1,1,5,1
1712,3,120000,1,1,11,2017,2,1,29,9,24.3,1248,88.5,200.0,5.0,8,4,4,1,3995.0,1790.0,1640.0,2500.0,5,3,0,1,1,5,1
1713,4,143185,1,1,6,2014,0,1,25,9,25.8,1498,98.6,200.0,5.0,11,4,4,1,3990.0,1680.0,1505.0,2405.0,5,3,0,1,1,4,1
1715,0,43000,1,1,11,2018,2,3,25,9,20.89,1197,81.8,113.0,5.0,1,4,4,0,3700.0,1690.0,1595.0,2435.0,5,1,0,1,1,5,1
1716,0,63309,1,1,6,2015,2,3,25,9,18.5,1198,86.8,109.0,5.0,10,4,4,0,3610.0,1680.0,1500.0,2345.0,5,3,0,1,1,5,1
1717,0,150000,1,1,11,2015,2,1,25,9,25.2,1248,74.0,190.0,5.0,8,4,4,1,3840.0,1735.0,1530.0,2450.0,5,3,0,1,1,5,1
1719,0,39386,1,1,11,2019,2,3,25,9,21.01,1197,81.8,113.0,5.0,1,4,4,0,3995.0,1745.0,1510.0,2520.0,5,1,0,1,1,5,1
1721,1,29257,0,1,15,2021,0,3,25,9,18.2,999,71.01,96.0,7.0,1,3,4,0,3991.0,1739.0,1643.0,2425.0,5,1,0,1,1,5,1
1722,0,61829,0,1,11,2017,0,3,25,9,21.4,1197,83.1,115.0,5.0,11,4,4,0,3995.0,1745.0,1510.0,2520.0,0,3,0,1,1,5,1
1723,0,83901,1,1,11,2014,0,3,25,9,23.95,998,67.05,90.0,5.0,4,3,4,0,3545.0,1515.0,1475.0,2360.0,5,3,0,1,1,5,1
1724,0,33295,1,1,11,2014,2,3,25,8,25.24,998,65.71,89.0,5.0,11,3,4,0,3695.0,1655.0,1555.0,2435.0,5,1,0,1,1,5,1
1725,0,33610,1,1,11,2015,0,3,25,8,25.24,998,65.71,89.0,5.0,1,3,4,0,3695.0,1655.0,1555.0,2435.0,5,1,0,1,1,5,1
1727,0,20960,1,1,17,2018,0,3,25,9,23.84,1199,84.0,114.0,5.0,11,3,4,0,3746.0,1647.0,1535.0,2400.0,5,3,0,1,1,5,1
1729,0,85105,1,2,7,2015,2,3,25,9,18.6,1197,81.83,114.7,5.0,12,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
1730,0,44519,1,2,7,2016,2,3,25,9,21.1,814,55.2,74.5,5.0,1,3,3,0,3495.0,1550.0,1500.0,2380.0,5,3,0,1,1,5,1
1731,0,54024,1,1,11,2017,0,3,25,9,21.4,1197,83.1,115.0,5.0,4,4,4,0,3995.0,1745.0,1510.0,2520.0,5,3,0,1,1,5,1
1732,0,20027,1,1,11,2020,0,3,25,9,21.01,1197,81.8,113.0,5.0,10,4,4,0,3995.0,1745.0,1510.0,2520.0,5,1,0,1,1,5,1
1735,4,67905,1,1,6,2013,0,1,25,9,25.8,1498,98.6,200.0,5.0,10,4,4,1,3990.0,1680.0,1505.0,2405.0,5,3,0,1,1,4,1
1736,0,62604,1,1,11,2017,2,3,25,9,21.01,1197,81.8,113.0,5.0,4,4,4,0,3995.0,1745.0,1510.0,2520.0,5,1,0,1,1,5,1
1738,4,105781,1,1,6,2014,0,1,25,9,25.8,1498,98.6,200.0,5.0,4,4,4,1,3990.0,1680.0,1505.0,2405.0,5,3,0,1,1,4,1
1740,0,67000,0,1,11,2014,0,3,25,8,23.1,998,67.04,90.0,5.0,4,3,4,0,3715.0,1635.0,1565.0,2425.0,5,3,0,1,1,5,1
1741,0,110273,1,2,7,2010,0,3,25,9,20.36,1197,78.9,111.8,5.0,10,4,4,0,3585.0,1595.0,1550.0,2380.0,5,3,0,1,1,4,1
1742,0,65628,0,2,11,2016,0,3,25,8,23.1,998,67.04,90.0,5.0,10,3,4,0,3715.0,1635.0,1565.0,2425.0,5,3,0,1,1,5,1
1743,0,106075,1,1,19,2014,2,3,25,9,16.47,1198,74.0,110.0,5.0,4,3,4,0,3971.0,1682.0,1469.0,2469.0,5,3,0,1,1,5,1
1744,0,6023,1,1,11,2022,0,3,25,9,20.89,1197,81.8,113.0,5.0,1,4,4,0,3700.0,1690.0,1595.0,2435.0,5,1,0,1,1,5,1
1745,0,38999,1,2,17,2018,0,3,25,9,23.84,1199,84.0,114.0,5.0,10,3,4,0,3746.0,1647.0,1535.0,2400.0,5,3,0,1,1,5,1
1750,3,106360,1,2,4,2015,0,1,25,9,22.7,1498,89.84,204.0,5.0,1,4,2,1,3999.0,1765.0,1708.0,2520.0,5,3,0,1,1,5,1
1753,3,26000,1,1,18,2021,0,3,25,9,17.03,1462,103.26,138.0,5.0,1,4,4,0,3995.0,1790.0,1640.0,2500.0,5,1,0,1,1,5,1
1756,0,57000,1,1,11,2020,0,3,25,8,21.21,1197,81.8,113.0,5.0,4,4,4,0,3840.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,1
1757,3,49000,1,1,7,2017,2,3,25,9,15.29,1591,121.3,151.0,5.0,12,4,4,0,4270.0,1780.0,1630.0,2590.0,6,3,0,1,1,5,1
1758,0,30000,1,1,7,2022,0,3,25,9,21.0,1197,81.8,114.74,5.0,10,4,4,0,3995.0,1775.0,1505.0,2580.0,5,1,0,1,1,5,1
1760,0,40000,0,3,7,2014,2,3,29,9,16.95,1197,78.9,111.8,5.0,8,4,4,0,3585.0,1595.0,1550.0,2380.0,4,3,0,1,1,4,1
1761,0,53250,0,1,6,2015,0,3,25,9,19.0,1199,88.7,110.0,5.0,7,4,4,0,3955.0,1694.0,1544.0,2530.0,5,3,0,1,1,5,1
1762,0,8848,1,1,17,2022,2,3,25,9,19.01,1199,84.82,113.0,5.0,0,3,4,0,3765.0,1677.0,1535.0,2400.0,5,1,0,1,1,5,1
1765,0,8579,1,1,11,2022,2,3,25,9,20.89,1197,81.8,113.0,5.0,11,4,4,0,3700.0,1690.0,1595.0,2435.0,5,1,0,1,1,5,1
1766,1,17000,1,1,15,2022,0,3,25,9,20.0,999,71.01,96.0,7.0,12,3,4,0,3991.0,1739.0,1643.0,2425.0,5,1,0,1,1,5,1
1769,0,46946,1,2,7,2017,0,3,25,9,18.6,1197,81.83,114.7,5.0,10,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
1770,0,30772,0,1,6,2019,0,3,25,9,18.2,1199,88.7,110.0,5.0,11,4,4,0,3955.0,1694.0,1544.0,2530.0,5,3,0,1,1,5,1
1771,0,74008,1,1,4,2012,0,1,25,9,20.0,1399,68.0,160.0,5.0,10,4,4,0,3795.0,1680.0,1427.0,2489.0,5,3,0,1,1,5,1
1774,0,20000,1,2,11,2020,2,3,25,9,21.01,1197,81.8,113.0,5.0,8,4,4,0,3995.0,1745.0,1510.0,2520.0,5,1,0,1,1,5,1
1775,0,31137,0,1,11,2020,2,3,25,9,21.7,998,67.05,90.0,5.0,7,3,4,0,3565.0,1520.0,1564.0,2380.0,0,3,0,1,1,5,1
1776,4,90000,1,1,11,2011,2,1,19,9,19.3,1248,73.9,190.0,5.0,8,4,4,1,4160.0,1690.0,1530.0,2390.0,5,3,0,1,1,4,1
1777,3,77000,1,1,7,2015,0,3,25,9,15.8,1591,121.3,151.0,5.0,12,4,4,0,4270.0,1780.0,1665.0,2590.0,6,3,0,1,1,5,1
1781,0,28733,1,1,2,2018,2,3,25,9,22.7,799,53.64,72.0,5.0,12,3,4,0,3429.0,1560.0,1541.0,2348.0,5,3,0,1,1,5,1
1784,4,60431,1,1,17,2022,0,3,25,9,19.28,1199,84.82,113.0,5.0,6,3,4,0,3993.0,1677.0,1532.0,2450.0,5,1,0,1,1,4,1
1785,0,53269,1,1,11,2018,0,3,25,9,21.63,998,67.0,90.0,5.0,1,3,4,0,3715.0,1635.0,1565.0,2425.0,5,1,0,1,1,5,1
1787,4,37778,1,2,6,2019,2,3,25,9,19.5,1199,88.76,110.0,5.0,11,4,4,0,3995.0,1695.0,1501.0,2470.0,5,3,0,1,1,4,1
1788,0,54024,1,1,11,2017,2,3,25,9,21.4,1197,83.1,115.0,5.0,4,4,4,0,3995.0,1745.0,1510.0,2520.0,5,3,0,1,1,5,1
1789,3,85941,1,2,17,2018,2,3,25,9,17.0,1198,108.5,170.0,5.0,11,3,4,1,3994.0,1811.0,1607.0,2498.0,6,3,0,1,1,5,1
1790,0,89329,0,1,11,2018,0,3,25,9,21.63,998,67.0,90.0,5.0,7,3,4,0,3715.0,1635.0,1565.0,2425.0,0,1,0,1,1,5,1
1791,0,40000,1,2,17,2019,2,3,25,9,23.84,1199,84.0,114.0,5.0,8,3,4,0,3746.0,1647.0,1535.0,2400.0,5,3,0,1,1,5,1
1792,0,17000,1,1,11,2017,0,3,25,9,21.21,1197,81.8,113.0,5.0,12,4,4,0,3840.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,1
1793,0,83887,1,1,11,2017,0,3,25,9,20.89,1197,81.8,113.0,5.0,1,4,4,0,3700.0,1690.0,1595.0,2435.0,5,1,0,1,1,5,1
1794,0,150000,1,1,7,2015,2,1,25,9,21.19,1396,88.73,219.66,5.0,8,4,4,1,3995.0,1760.0,1555.0,2570.0,6,3,0,1,1,5,1
1798,0,34000,0,1,11,2016,0,3,25,9,23.1,998,67.04,90.0,5.0,3,3,4,0,3715.0,1635.0,1565.0,2425.0,5,3,0,1,1,5,1
1799,0,29973,1,1,11,2017,0,3,25,9,23.1,998,67.04,90.0,5.0,1,3,4,0,3715.0,1635.0,1565.0,2425.0,5,3,0,1,1,5,1
1801,0,80805,1,2,7,2016,0,1,25,9,21.19,1396,88.73,219.66,5.0,12,4,4,1,3995.0,1760.0,1555.0,2570.0,6,3,0,1,1,5,1
1802,0,26235,1,1,17,2020,0,3,25,9,23.84,1199,83.83,114.0,5.0,11,3,4,0,3746.0,1647.0,1535.0,2400.0,5,3,0,1,1,5,1
1804,3,83294,1,1,7,2018,0,3,25,9,15.8,1591,121.3,151.0,5.0,10,4,4,0,4270.0,1780.0,1665.0,2590.0,6,3,0,1,1,5,1
1806,0,102696,1,1,11,2019,0,3,25,9,21.4,1197,83.1,115.0,5.0,4,4,4,0,3995.0,1745.0,1510.0,2520.0,5,3,0,1,1,5,1
1807,0,57206,1,2,7,2019,0,1,25,9,22.54,1396,88.76,224.0,5.0,10,4,4,1,3985.0,1734.0,1505.0,2570.0,6,3,0,1,1,5,1
1808,0,120000,1,2,4,2013,2,1,25,9,20.0,1399,68.05,160.0,5.0,8,4,2,1,3795.0,1680.0,1427.0,2489.0,5,3,0,1,1,5,1
1809,0,81829,1,1,7,2017,0,3,25,9,18.6,1197,81.83,114.7,5.0,10,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
1810,0,54395,1,2,11,2014,2,3,25,8,25.24,998,65.71,89.0,5.0,10,3,4,0,3695.0,1655.0,1555.0,2435.0,5,1,0,1,1,5,1
1811,4,50000,1,1,17,2019,2,1,25,9,24.7,1047,69.0,140.0,5.0,8,3,4,1,3992.0,1677.0,1537.0,2450.0,5,3,0,1,1,4,1
1812,4,70000,1,2,19,2017,2,3,2,9,17.0,1198,73.75,110.0,5.0,8,3,4,0,3995.0,1682.0,1483.0,2470.0,5,3,0,1,1,4,1
1813,0,36000,1,1,7,2015,0,3,25,9,18.6,1197,81.83,114.7,5.0,12,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
1817,4,49617,1,1,6,2016,0,3,25,9,19.5,1199,88.76,110.0,5.0,8,4,4,0,3995.0,1695.0,1501.0,2470.0,5,3,0,1,1,4,1
1818,4,57782,1,1,18,2016,0,3,25,9,16.78,1496,88.73,132.0,5.0,10,4,4,0,4265.0,1695.0,1510.0,2550.0,5,3,0,1,1,4,1
1821,0,22066,1,2,6,2018,2,3,25,9,18.7,1199,88.7,110.0,5.0,2,4,4,0,3955.0,1694.0,1544.0,2530.0,5,3,0,1,1,5,1
1822,0,65707,1,1,7,2016,0,3,25,9,18.6,1197,81.83,114.7,5.0,12,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
1823,0,89488,1,1,11,2015,2,3,25,9,23.1,998,67.04,90.0,5.0,11,3,4,0,3715.0,1635.0,1565.0,2425.0,5,3,0,1,1,5,1
1824,0,88663,0,2,11,2017,0,3,25,9,20.89,1197,81.8,113.0,5.0,1,4,4,0,3700.0,1690.0,1595.0,2435.0,5,1,0,1,1,5,1
1825,0,31679,1,1,17,2020,0,3,25,9,23.84,1199,83.83,114.0,5.0,11,3,4,0,3746.0,1647.0,1535.0,2400.0,5,3,0,1,1,5,1
1826,0,68178,1,1,7,2013,0,3,25,9,18.9,1197,82.0,114.0,5.0,1,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,1
1828,4,8963,1,1,6,2021,0,3,25,9,18.6,1199,88.76,110.0,5.0,11,4,4,0,3995.0,1695.0,1501.0,2470.0,5,1,0,1,1,4,1
1829,4,80281,1,1,11,2017,2,3,25,9,21.21,1197,81.8,113.0,5.0,11,4,4,0,3995.0,1735.0,1515.0,2450.0,5,3,0,1,1,4,1
1835,4,65224,1,1,19,2018,0,3,25,9,16.09,1598,103.2,153.0,5.0,4,4,4,0,4390.0,1699.0,1467.0,2553.0,5,3,0,1,1,4,1
1836,0,120000,1,1,11,2010,2,3,25,8,21.1,1197,85.8,114.0,5.0,8,4,4,0,3715.0,1680.0,1620.0,2360.0,5,3,0,1,1,5,1
1838,4,30316,1,1,11,2017,0,3,25,0,19.0,1197,85.8,114.0,5.0,1,4,4,0,3995.0,1695.0,1555.0,2430.0,5,3,0,1,1,4,1
1841,0,100526,1,1,11,2017,0,3,25,9,22.38,1197,88.5,113.0,5.0,11,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,1
1842,0,17273,1,1,11,2021,0,3,25,9,22.38,1197,88.5,113.0,5.0,11,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,1
1843,3,107737,1,1,11,2018,2,1,25,9,23.65,1248,88.5,200.0,5.0,12,4,4,1,4300.0,1785.0,1595.0,2600.0,5,3,0,0,1,5,1
1844,3,111586,1,2,4,2016,0,3,25,9,15.85,1499,110.4,140.0,5.0,7,4,4,0,3999.0,1765.0,1708.0,2520.0,5,3,0,1,1,5,1
1845,0,73369,0,2,11,2017,2,3,25,9,21.4,1197,83.1,115.0,5.0,11,4,4,0,3995.0,1745.0,1510.0,2520.0,0,3,0,1,1,5,1
1847,0,45224,1,1,7,2018,0,3,25,9,18.6,1197,81.83,114.7,5.0,1,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
1848,0,110701,1,2,4,2010,0,1,25,9,20.0,1399,68.0,160.0,5.0,8,4,4,0,3795.0,1680.0,1427.0,2489.0,5,3,0,1,1,5,1
1849,0,49124,1,2,11,2016,2,3,25,9,20.51,998,67.04,90.0,5.0,11,3,4,0,3599.0,1495.0,1700.0,2400.0,5,3,0,1,1,5,1
1850,4,96861,1,1,11,2016,0,3,25,9,22.41,1197,88.5,113.0,5.0,10,4,4,0,3995.0,1735.0,1515.0,2450.0,5,1,0,1,1,4,1
1851,0,64636,1,2,7,2009,0,3,25,9,20.36,1197,78.9,111.8,5.0,1,4,4,0,3585.0,1595.0,1550.0,2380.0,5,3,0,1,1,4,1
1854,3,14118,0,1,15,2022,0,3,25,9,19.03,999,71.01,96.0,5.0,2,3,4,0,3991.0,1750.0,1605.0,2500.0,5,1,0,1,1,5,1
1856,3,36000,0,2,4,2018,0,3,25,9,14.8,1497,121.36,150.0,5.0,4,3,4,0,3998.0,1765.0,1647.0,2519.0,6,3,0,1,1,4,1
1858,3,50000,1,1,8,2019,2,3,25,9,16.8,1497,113.43,144.0,5.0,12,4,4,0,4315.0,1800.0,1645.0,2610.0,6,1,0,0,1,5,1
1859,3,30000,1,1,18,2021,2,3,25,9,17.03,1462,103.26,138.0,5.0,2,4,4,0,3995.0,1790.0,1640.0,2500.0,5,1,0,1,1,5,1
1861,0,55940,1,2,7,2014,2,3,25,9,18.6,1197,81.83,114.7,5.0,11,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
1863,0,1000,0,1,15,2022,0,3,25,9,22.3,999,67.06,91.0,5.0,12,3,4,0,3731.0,1579.0,1474.0,2425.0,5,1,0,1,1,5,1
1864,0,96184,0,2,6,2016,0,3,25,9,19.0,1199,88.7,110.0,5.0,7,4,4,0,3955.0,1694.0,1544.0,2530.0,5,3,0,1,1,5,1
1865,0,87780,1,1,7,2014,0,3,25,8,19.81,1086,68.05,99.04,5.0,11,4,3,0,3585.0,1595.0,1550.0,2380.0,5,3,0,1,1,5,1
1866,0,118921,1,1,7,2015,0,3,25,9,18.6,1197,81.83,114.7,5.0,12,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
1867,3,73834,1,2,4,2019,0,1,25,9,23.0,1498,98.96,205.0,5.0,10,4,4,1,3998.0,1765.0,1647.0,2519.0,5,3,0,1,1,4,1
1869,0,38514,1,1,11,2016,0,3,25,9,21.4,1197,83.1,115.0,5.0,1,4,4,0,3995.0,1745.0,1510.0,2520.0,5,3,0,1,1,5,1
1870,4,74401,1,2,11,2016,0,3,25,9,22.41,1197,88.5,113.0,5.0,11,4,4,0,3995.0,1735.0,1515.0,2450.0,5,1,0,1,1,4,1
1872,0,9000,1,1,11,2022,0,3,25,9,22.38,1197,88.5,113.0,5.0,11,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,1
1873,3,50000,1,1,7,2017,2,3,25,9,15.29,1591,121.3,151.0,5.0,8,4,4,0,4270.0,1780.0,1630.0,2590.0,6,3,0,1,1,5,1
1874,4,40000,1,1,11,2020,2,3,25,9,22.41,1197,88.5,113.0,5.0,4,4,4,0,3995.0,1735.0,1515.0,2450.0,5,1,0,1,1,4,1
1876,0,82000,1,2,7,2014,2,3,25,9,18.9,1197,82.0,114.0,5.0,12,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,1
1877,4,32947,0,1,7,2020,0,3,25,9,20.1,1197,81.86,113.8,5.0,4,4,4,0,3995.0,1680.0,1520.0,2450.0,5,1,0,1,1,4,1
1882,0,34460,1,1,7,2016,0,3,25,9,18.6,1197,81.83,114.7,5.0,10,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
1883,4,33886,1,1,11,2010,0,3,25,9,17.5,1298,85.8,114.0,5.0,3,4,4,0,4160.0,1690.0,1530.0,2390.0,5,3,0,1,1,4,1
1884,0,57910,1,2,7,2016,2,3,25,9,17.19,1197,81.86,114.73,5.0,10,4,4,0,3995.0,1760.0,1555.0,2570.0,5,3,0,1,1,5,1
1885,1,46233,1,2,15,2020,0,3,25,9,20.0,999,71.01,96.0,7.0,1,3,4,0,3991.0,1739.0,1643.0,2425.0,5,1,0,1,1,5,1
1887,0,48979,1,1,11,2021,2,3,25,9,22.38,1197,88.5,113.0,5.0,10,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,1
1889,3,106165,1,1,4,2016,0,1,25,9,22.77,1498,98.59,205.0,5.0,11,4,2,1,3999.0,1765.0,1708.0,2520.0,5,3,0,1,1,5,1
1890,0,91261,1,1,2,2018,2,3,25,9,22.7,799,53.64,72.0,5.0,11,3,4,0,3429.0,1560.0,1541.0,2348.0,5,3,0,1,1,5,1
1891,0,36711,1,1,11,2018,0,3,25,9,21.63,998,67.05,90.0,5.0,1,3,4,0,3695.0,1600.0,1560.0,2425.0,5,3,0,1,1,5,1
1893,0,30428,1,0,11,2018,2,3,29,9,21.4,1197,83.1,115.0,5.0,1,4,4,0,3995.0,1745.0,1510.0,2520.0,5,3,0,1,1,5,1
1894,0,49791,1,1,15,2018,0,3,25,9,23.01,999,67.0,91.0,5.0,2,3,4,0,3679.0,1579.0,1478.0,2422.0,5,3,0,1,1,5,1
1896,4,40000,1,2,7,2014,2,3,29,9,19.1,1197,82.0,114.0,5.0,8,4,4,0,3995.0,1660.0,1520.0,2425.0,5,3,0,1,1,4,1
