,bt,km,transmission,ownerNo,oem,modelYear,price,Insurance Validity,Fuel Type,Features,Mileage,Engine,Max Power,Torque,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Seating Capacity,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
1030,Hatchback,10346,Manual,1,Hyundai,2022,697000.0,Third Party,Petrol,9,20.7,1197.0,81.86,113.8,blue,4.0,4.0,No,3805.0,1680.0,1520.0,2450.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1031,Sedan,30000,Automatic,3,Maruti,2020,630000.0,Third Party,Petrol,9,22.61,1197.0,88.5,113.0,others,4.0,4.0,No,3995.0,1735.0,1515.0,2450.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,4.0,Bangalore
1032,Hatchback,16679,Manual,1,Maruti,2021,429000.0,Third Party,Petrol,9,22.05,796.0,47.33,69.0,silver,3.0,4.0,No,3445.0,1515.0,1475.0,2360.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1033,Hatchback,15437,Manual,2,Maruti,2016,463999.0,Comprehensive,Petrol,9,25.24,998.0,65.71,89.0,white,3.0,4.0,No,3695.0,1655.0,1555.0,2435.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1034,MUV,40000,Manual,1,Renault,2019,750000.0,Third Party,Petrol,9,20.0,999.0,72.0,96.0,others,3.0,4.0,No,3990.0,1739.0,1643.0,2636.0,5.0,7.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1035,SUV,30000,Automatic,2,Hyundai,2019,1100000.0,Third Party,Petrol,9,18.15,998.0,118.35,171.6,others,3.0,4.0,Yes,3995.0,1770.0,1605.0,2500.0,7.0,5.0,Power,Disc,Drum,Radial,5.0,Bangalore
1036,Sedan,90000,Manual,1,Hyundai,2014,700000.0,Third Party,Diesel,9,22.7,1582.0,126.24,259.87,others,4.0,4.0,Yes,4530.0,1775.0,1470.0,2700.0,6.0,5.0,Power,Disc,Disc,Tubeless,4.0,Bangalore
1037,SUV,20000,Manual,1,Skoda,2022,1695000.0,Comprehensive,Petrol,9,18.09,999.0,113.98,178.0,white,3.0,4.0,Yes,4225.0,1760.0,1612.0,2651.0,6.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1038,SUV,120000,Automatic,1,Audi,2011,2000000.0,Third Party,Diesel,9,12.07,2967.0,241.4,550.0,white,6.0,4.0,Yes,5089.0,2177.0,1737.0,3002.0,8.0,7.0,Power,Disc,Disc,Tubeless,5.0,Bangalore
1039,Minivans,10000,Manual,1,Maruti,2021,500000.0,Third Party,Petrol,8,16.11,1196.0,72.41,98.0,others,4.0,4.0,No,3675.0,1475.0,1825.0,2350.0,5.0,7.0,Manual,Disc,Drum,Tubeless,5.0,Bangalore
1040,SUV,110000,Manual,3,Honda,2005,200000.0,Third Party,Petrol,9,11.1,2354.0,158.8,218.0,silver,4.0,4.0,No,4575.0,1820.0,1680.0,2620.0,6.0,5.0,Power,Disc,Disc,Tubeless,5.0,Bangalore
1041,Sedan,120000,Automatic,1,Jaguar,2017,2700000.0,Third Party,Diesel,9,19.33,1999.0,177.0,430.0,red,4.0,4.0,Yes,5067.0,2091.0,1457.0,2960.0,8.0,5.0,Power,Disc,Disc,Tubeless,4.0,Bangalore
1042,Hatchback,50000,Manual,1,Datsun,2020,360000.0,Third Party,Petrol,9,21.7,999.0,67.05,91.0,others,3.0,4.0,No,3435.0,1574.0,1546.0,2348.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1043,Hatchback,15017,Manual,1,Honda,2017,733000.0,Comprehensive,Petrol,9,18.7,1199.0,88.7,110.0,white,4.0,4.0,No,3955.0,1694.0,1544.0,2530.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1044,Hatchback,75283,Manual,1,Maruti,2013,375000.0,Comprehensive,Petrol,9,18.9,998.0,67.1,90.0,red,3.0,4.0,No,3595.0,1495.0,1700.0,2400.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1045,SUV,54568,Manual,2,Tata,2021,1885000.0,Third Party,Diesel,9,16.35,1956.0,167.67,350.0,black,4.0,4.0,Yes,4598.0,1894.0,1706.0,2741.0,6.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1046,Hatchback,14516,Manual,1,Hyundai,2016,657000.0,Comprehensive,Petrol,9,18.6,1197.0,81.83,114.7,white,4.0,4.0,No,3985.0,1734.0,1505.0,2570.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1047,Hatchback,53627,Automatic,1,Maruti,2019,729000.0,Comprehensive,Petrol,9,21.4,1197.0,83.1,115.0,blue,4.0,4.0,No,3995.0,1745.0,1510.0,2520.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1048,Sedan,20000,Manual,1,Tata,2021,800000.0,Third Party,Petrol,9,19.28,1199.0,84.82,113.0,blue,3.0,4.0,No,3993.0,1677.0,1532.0,2450.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,4.0,Bangalore
1049,Hatchback,5083,Automatic,2,Renault,2019,501000.0,Third Party,Petrol,9,23.01,999.0,67.0,91.0,blue,3.0,4.0,No,3679.0,1579.0,1478.0,2422.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1050,SUV,100000,Manual,2,Mahindra,2016,650000.0,Third Party,Diesel,9,18.49,1493.0,100.0,240.0,others,3.0,2.0,Yes,3995.0,1835.0,1826.0,2680.0,5.0,7.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1051,Sedan,50666,Automatic,1,Honda,2017,1005000.0,Third Party,Petrol,9,18.0,1497.0,117.6,145.0,silver,4.0,4.0,No,4440.0,1695.0,1495.0,2600.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1052,SUV,16962,Manual,1,Tata,2022,1193000.0,Third Party,Petrol,9,17.57,1199.0,118.36,170.0,black,3.0,4.0,Yes,3993.0,1811.0,1606.0,2498.0,6.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1053,Hatchback,10000,Manual,1,Volkswagen,2019,900000.0,Third Party,Petrol,9,18.78,999.0,75.0,95.0,others,3.0,4.0,No,3971.0,1682.0,1469.0,2469.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1054,Hatchback,70446,Automatic,1,Volkswagen,2017,925000.0,Comprehensive,Petrol,9,17.21,1197.0,103.5,175.0,red,4.0,4.0,Yes,3971.0,1682.0,1469.0,2469.0,7.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1055,Hatchback,60528,Automatic,2,Volkswagen,2017,865000.0,Third Party,Petrol,9,17.21,1197.0,103.5,175.0,gray,4.0,4.0,Yes,3971.0,1682.0,1469.0,2469.0,7.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1056,SUV,7132,Manual,1,Volkswagen,2021,1585000.0,Comprehensive,Petrol,9,20.08,999.0,113.98,178.0,silver,3.0,4.0,Yes,4221.0,1760.0,1612.0,2651.0,6.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1057,Sedan,100000,Manual,5,Ford,2009,120000.0,Third Party,Diesel,9,17.8,1399.0,103.7259811197063,16.3,white,4.0,2.0,No,4282.0,1686.0,1468.0,2486.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1058,SUV,80000,Automatic,3,Mercedes-Benz,2012,1800000.0,Third Party,Diesel,9,11.74,2987.0,254.8,619.0,others,6.0,4.0,Yes,4817.0,2141.0,1762.0,2915.0,7.0,5.0,Power,Disc,Disc,Tubeless,5.0,Bangalore
1059,SUV,30000,Automatic,1,Mercedes-Benz,2018,7000000.0,Third Party,Petrol,9,8.9,2996.0,384.87,520.0,red,6.0,4.0,Yes,4891.0,2129.0,1719.0,2915.0,9.0,5.0,Power,Disc,Disc,Tubeless,5.0,Bangalore
1060,Hatchback,120000,Manual,3,Tata,2015,195000.0,Third Party,Diesel,9,17.88,1405.0,48.21,85.0,others,4.0,4.0,Yes,3690.0,1665.0,1485.0,2400.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1061,Hatchback,21280,Manual,1,Hyundai,2018,799000.0,Comprehensive,Petrol,9,18.6,1197.0,81.83,114.7,silver,4.0,4.0,No,3985.0,1734.0,1505.0,2570.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1062,SUV,82021,Automatic,1,Ford,2017,689000.0,Zero Dep,Petrol,9,15.63,1499.0,110.4,140.0,silver,4.0,4.0,No,3999.0,1765.0,1708.0,2520.0,6.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1063,SUV,18998,Manual,1,Tata,2023,1068000.0,Third Party,Petrol,9,17.33,1199.0,118.35,170.0,red,3.0,4.0,No,3993.0,1811.0,1606.0,2498.0,6.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1064,SUV,56189,Manual,1,Jeep,2018,1798999.0,Third Party,Diesel,9,16.3,1956.0,170.0,350.0,red,4.0,4.0,Yes,4395.0,1818.0,1640.0,2636.0,6.0,5.0,Power,Disc,Disc,Tubeless,5.0,Bangalore
1065,Hatchback,57644,Manual,2,Maruti,2020,383000.0,Third Party,Petrol,9,21.7,998.0,65.71,89.0,orange,3.0,4.0,No,3565.0,1520.0,1567.0,2380.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1066,Hatchback,51286,Manual,2,Maruti,2018,327000.0,Comprehensive,Petrol,9,24.7,796.0,47.3,69.0,silver,3.0,4.0,No,3430.0,1515.0,1475.0,2360.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1067,SUV,120000,Manual,1,Mahindra,2012,195000.0,Third Party,Diesel,9,17.21,1493.0,100.0,240.0,silver,3.0,4.0,Yes,3985.0,1850.0,1880.0,2760.0,5.0,7.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1068,Hatchback,27937,Manual,1,Hyundai,2019,639000.0,Third Party,Petrol,9,20.7,1197.0,81.86,113.8,silver,4.0,4.0,No,3805.0,1680.0,1520.0,2450.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1069,SUV,64000,Manual,2,Renault,2013,575000.0,Comprehensive,Diesel,9,20.45,1461.0,83.8,200.0,white,4.0,4.0,Yes,4315.0,1822.0,1695.0,2673.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1070,SUV,40031,Manual,2,Ford,2017,660000.0,Comprehensive,Petrol,9,15.85,1499.0,110.4,140.0,white,4.0,4.0,No,3999.0,1765.0,1708.0,2520.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1071,Hatchback,47619,Manual,2,Maruti,2017,325000.0,Comprehensive,Petrol,8,22.05,796.0,47.33,69.0,silver,3.0,4.0,No,3445.0,1515.0,1475.0,2360.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1072,Hatchback,90000,Manual,5,Hyundai,2009,225000.0,Third Party,Petrol,9,17.0,1197.0,103.7259811197063,11.4,silver,4.0,4.0,No,3940.0,1710.0,1505.0,2.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1073,SUV,20000,Automatic,1,Toyota,2022,1075000.0,Third Party,Petrol,9,18.76,1462.0,103.26,138.0,gray,4.0,4.0,No,3995.0,1790.0,1640.0,2500.0,4.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1074,SUV,20000,Manual,1,Toyota,2022,975000.0,Third Party,Petrol,9,17.03,1462.0,103.26,138.0,gray,4.0,4.0,No,3995.0,1790.0,1640.0,2500.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1075,Hatchback,70000,Manual,3,Hyundai,2010,300000.0,Third Party,Petrol,9,20.36,1197.0,78.9,111.8,others,4.0,4.0,No,3585.0,1595.0,1550.0,2380.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1076,Sedan,110000,Manual,3,Maruti,2011,290000.0,Third Party,Diesel,9,21.5,1248.0,88.8,200.0,others,4.0,4.0,No,4490.0,1735.0,1550.0,2500.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1077,Hatchback,40000,Manual,3,Honda,2012,260000.0,Third Party,Petrol,9,19.4,1198.0,86.8,109.0,others,4.0,4.0,No,3610.0,1680.0,1500.0,2345.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1078,Sedan,100000,Manual,3,Nissan,2012,360000.0,Third Party,Diesel,9,21.64,1461.0,84.8,200.0,others,4.0,2.0,No,4425.0,1695.0,1505.0,2600.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1079,SUV,10000,Automatic,4,BMW,2013,1500000.0,Third Party,Diesel,0,16.55,1995.0,103.7259811197063,25.5,others,6.0,4.0,No,4066.5465673902063,1716.1002525252525,1556.269308430086,2515.9687699171445,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1080,Hatchback,60000,Manual,4,Hyundai,2017,250000.0,Third Party,Petrol,8,21.1,814.0,55.2,74.5,others,3.0,3.0,No,3495.0,1550.0,1500.0,2380.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1081,SUV,30535,Manual,2,Hyundai,2020,1073000.0,Third Party,Petrol,9,18.0,998.0,118.35,171.6,white,3.0,4.0,Yes,3995.0,1770.0,1605.0,2500.0,5.0,5.0,Electronic,Disc,Drum,Radial,5.0,Bangalore
1082,Hatchback,20229,Manual,2,Maruti,2017,349000.0,Third Party,Petrol,9,23.95,998.0,67.05,90.0,others,3.0,4.0,No,3545.0,1515.0,1475.0,2360.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1083,Hatchback,35800,Manual,1,Maruti,2018,484999.0,Third Party,Petrol,8,21.63,998.0,67.05,90.0,white,3.0,4.0,No,3695.0,1600.0,1560.0,2425.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1084,Hatchback,11453,Manual,1,Maruti,2021,591000.0,Comprehensive,Petrol,9,20.52,1197.0,81.8,113.0,gray,4.0,4.0,No,3655.0,1620.0,1675.0,2435.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1085,Hatchback,35410,Manual,1,Hyundai,2016,657000.0,Comprehensive,Petrol,9,18.6,1197.0,81.83,114.7,blue,4.0,4.0,No,3985.0,1734.0,1505.0,2570.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1086,Hatchback,50000,Manual,1,Maruti,2009,210000.0,Third Party,Petrol,8,19.7,796.0,46.3,62.0,others,3.0,4.0,No,3495.0,1475.0,1460.0,2360.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1087,Hatchback,49948,Automatic,1,Hyundai,2018,591000.0,Third Party,Petrol,9,18.9,1197.0,81.86,113.75,blue,4.0,4.0,No,3765.0,1660.0,1520.0,2425.0,4.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
